strike,expiry,T,option_type,moneyness,market_iv,model_iv,iv_error,abs_error
750.0,2026-08-31,0.4794520547945205,call,-0.10924954237616058,0.14209264600176263,0.16986629137689574,0.027773645375133105,0.027773645375133105
585.0,2026-08-31,0.4794520547945205,put,0.13921181692233908,0.2831334376156831,0.26355303310780626,-0.019580404507876847,0.019580404507876847
670.0,2026-09-18,0.5287671232876713,call,0.0035459517691838593,0.19897204015201103,0.21758230521163263,0.0186102650596216,0.0186102650596216
670.0,2026-09-18,0.5287671232876713,put,0.0035459517691838593,0.2193881836147658,0.2175823052116326,-0.0018058784031332042,0.0018058784031332042
675.0,2026-09-18,0.5287671232876713,put,-0.0038890267183342253,0.21608337823052243,0.21494036033092137,-0.0011430178996010565,0.0011430178996010565
675.0,2026-09-18,0.5287671232876713,call,-0.0038890267183342253,0.1981887984475041,0.21494036033092134,0.016751561883417254,0.016751561883417254
665.0,2026-09-18,0.5287671232876713,put,0.011036623498341353,0.2227802988465247,0.22020853226556075,-0.0025717665809639467,0.0025717665809639467
705.0,2026-09-18,0.5287671232876713,call,-0.04737413865807312,0.1731860592748513,0.19873033370169235,0.02554427442684104,0.02554427442684104
740.0,2026-09-18,0.5287671232876713,call,-0.09582652204401985,0.1499048837490305,0.17883199729043367,0.028927113541403177,0.028927113541403177
575.0,2026-09-18,0.5287671232876713,put,0.15645362335684515,0.28782282434577605,0.2656113321228162,-0.022211492222959872,0.022211492222959872
672.0,2026-09-30,0.5616438356164384,put,0.0005653236310460574,0.2181907792893176,0.2163269241766094,-0.0018638551127082015,0.0018638551127082015
673.0,2026-09-30,0.5616438356164384,put,-0.0009216654905322943,0.21755896188435028,0.21581969327741313,-0.0017392686069371555,0.0017392686069371555
671.0,2026-09-30,0.5616438356164384,put,0.002054527182513703,0.21883233336573749,0.21683365062814433,-0.001998682737593155,0.001998682737593155
670.0,2026-09-30,0.5616438356164384,call,0.0035459517691838593,0.19545253444032706,0.21733988408835767,0.021887349648030602,0.021887349648030602
670.0,2026-09-30,0.5616438356164384,put,0.0035459517691838593,0.21950931960039288,0.21733988408835767,-0.002169435512035217,0.002169435512035217
695.0,2026-09-30,0.5616438356164384,call,-0.033088181410596544,0.17829508938754338,0.2045185523679049,0.026223462980361517,0.026223462980361517
629.0,2026-09-30,0.5616438356164384,call,0.066692407453755,0.2835237826037241,0.23771866104192593,-0.04580512156179814,0.04580512156179814
590.0,2026-09-30,0.5616438356164384,put,0.13070112725443037,0.2745782648816637,0.25658539464033775,-0.017992870241325953,0.017992870241325953
670.0,2026-12-18,0.7780821917808219,call,0.0035459517691838593,0.19706836495898583,0.21676365788045812,0.01969529292147229,0.01969529292147229
670.0,2026-12-18,0.7780821917808219,put,0.0035459517691838593,0.22237092401678837,0.21676365788045812,-0.005607266136330252,0.005607266136330252
675.0,2026-12-18,0.7780821917808219,put,-0.0038890267183342253,0.21982142921690168,0.21475741057466582,-0.005064018642235851,0.005064018642235851
675.0,2026-12-18,0.7780821917808219,call,-0.0038890267183342253,0.19520812831917256,0.21475741057466508,0.019549282255492517,0.019549282255492517
665.0,2026-12-18,0.7780821917808219,call,0.011036623498341353,0.19991135224668874,0.21876637880893843,0.018855026562249688,0.018855026562249688
700.0,2026-12-18,0.7780821917808219,put,-0.0402566708892091,0.20825071780017884,0.20466147932674728,-0.0035892384734315663,0.0035892384734315663
735.0,2026-12-18,0.7780821917808219,put,-0.08904683505864114,0.19875877834349795,0.1902787568256058,-0.00848002151789215,0.00848002151789215
580.0,2026-12-18,0.7780821917808219,put,0.1477955606137306,0.27244094007565256,0.2525445382084199,-0.019896401867232683,0.019896401867232683
669.0,2026-12-31,0.8136986301369863,put,0.00503960402596706,0.22253227288281047,0.21715637159847714,-0.005375901284333323,0.005375901284333323
